Day	Month	Year	Runoff(mm/d)	ActualEvaporation(mm/d)	SMD(mm)	PotentialRecharge(mm/d)
1	1	1961	0	0	0	0	
2	1	1961	2.96124	0.552328	0	1.72943	
3	1	1961	0.515569	0.552328	0	0.301103	
4	1	1961	1.26051	0.552328	0	0.736163	
5	1	1961	1.6254	0.552328	0	0.949269	
6	1	1961	2.12855	0.552328	0	1.24312	
7	1	1961	1.0648	0.552328	0	0.621867	
8	1	1961	0	0.552328	0.547328	0	
9	1	1961	3.6258	0.552328	0	2.11754	
10	1	1961	1.58942	0.552328	0	0.928253	
11	1	1961	0	0.552328	0.543328	0	
12	1	1961	0	0.552212	1.07854	0	
13	1	1961	0.770906	0.552328	0	0.450225	
14	1	1961	0	0.552328	0.549328	0	
15	1	1961	0	0.5522	1.09853	0	
16	1	1961	0	0.551865	1.64739	0	
17	1	1961	0	0.551528	2.19792	0	
18	1	1961	0	0.55119	2.74911	0	
19	1	1961	0.973194	0.552328	0	0.568365	
20	1	1961	3.40631	0.552328	0	1.98936	
21	1	1961	0.0357772	0.552328	0	0.0208946	
22	1	1961	0	0.552328	0.229328	0	
23	1	1961	0	0.552328	0.774656	0	
24	1	1961	0	0.552061	1.32672	0	
25	1	1961	0	0.551724	1.87844	0	
26	1	1961	0	0.551386	2.42983	0	
27	1	1961	0.234747	0.552328	0	0.137097	
28	1	1961	3.04395	0.552328	0	1.77773	
29	1	1961	2.62476	0.552328	0	1.53291	
30	1	1961	0	0.552328	0.0773282	0	
31	1	1961	1.56964	0.552328	0	0.916702	
1	2	1961	1.20311	0.654246	0	0.702642	
2	2	1961	0.153883	0.654246	0	0.0898709	
3	2	1961	1.75361	0.654246	0	1.02414	
4	2	1961	1.35147	0.654246	0	0.789285	
5	2	1961	0.0301474	0.654246	0	0.0176067	
6	2	1961	0	0.654246	0.634246	0	
7	2	1961	0	0.654246	0.290492	0	
8	2	1961	1.54623	0.654246	0	0.903031	
9	2	1961	0	0.654246	0.653246	0	
10	2	1961	0	0.653954	1.2922	0	
11	2	1961	1.03253	0.654246	0	0.603021	
12	2	1961	0	0.654246	0.595246	0	
13	2	1961	0	0.653995	1.23624	0	
14	2	1961	0	0.653522	1.88976	0	
15	2	1961	0	0.653251	2.26301	0	
16	2	1961	0	0.65278	2.91179	0	
17	2	1961	0	0.652309	3.5581	0	
18	2	1961	0	0.651833	4.20794	0	
19	2	1961	0	0.651357	4.85729	0	
20	2	1961	0	0.650879	5.50817	0	
21	2	1961	0	0.650402	6.15457	0	
22	2	1961	0	0.649925	6.7995	0	
23	2	1961	0	0.650416	6.13491	0	
24	2	1961	0	0.651489	4.6774	0	
25	2	1961	0	0.651175	5.10558	0	
26	2	1961	0	0.652798	2.88638	0	
27	2	1961	5.01217	0.654246	0	2.92721	
28	2	1961	1.9026	0.654246	0	1.11116	
1	3	1961	0	1.39976	1.39676	0	
2	3	1961	0	1.39759	2.79135	0	
3	3	1961	0	1.39541	4.18676	0	
4	3	1961	0	1.39322	5.57998	0	
5	3	1961	0	1.39102	6.971	0	
6	3	1961	0	1.3888	8.3598	0	
7	3	1961	0	1.38658	9.74638	0	
8	3	1961	0	1.38434	11.1307	0	
9	3	1961	0	1.3821	12.5098	0	
10	3	1961	0	1.37985	13.8897	0	
11	3	1961	0	1.37758	15.2673	0	
12	3	1961	0	1.3753	16.6426	0	
13	3	1961	0	1.37301	18.0146	0	
14	3	1961	0	1.37071	19.3853	0	
15	3	1961	0	1.3684	20.7537	0	
16	3	1961	0	1.36607	22.1198	0	
17	3	1961	0	1.36374	23.4835	0	
18	3	1961	0	1.3617	24.6612	0	
19	3	1961	0	1.36188	24.5581	0	
20	3	1961	0	1.36197	24.51	0	
21	3	1961	0	1.35964	25.8527	0	
22	3	1961	0	1.35728	27.2	0	
23	3	1961	0	1.3549	28.5549	0	
24	3	1961	0	1.3525	29.9074	0	
25	3	1961	0	1.3501	31.2575	0	
26	3	1961	0	1.34767	32.6051	0	
27	3	1961	0	1.34524	33.9504	0	
28	3	1961	0	1.34279	35.2932	0	
29	3	1961	0	1.34455	34.3327	0	
30	3	1961	0	1.34668	33.1564	0	
31	3	1961	0	1.34609	33.4815	0	
1	4	1961	0	1.59715	23.6146	0	
2	4	1961	0	1.60054	21.9262	0	
3	4	1961	0	1.60752	18.4057	0	
4	4	1961	0	1.61329	15.447	0	
5	4	1961	0	1.61201	16.105	0	
6	4	1961	0	1.60887	17.7139	0	
7	4	1961	0	1.62187	10.9667	0	
8	4	1961	0	1.6188	12.5845	0	
9	4	1961	0	1.61575	14.1743	0	
10	4	1961	0	1.61263	15.7869	0	
11	4	1961	0	1.6095	17.3964	0	
12	4	1961	0	1.60634	19.0018	0	
13	4	1961	0	1.6032	20.591	0	
14	4	1961	0	1.60001	22.191	0	
15	4	1961	0	1.5968	23.7878	0	
16	4	1961	0	1.59357	25.3813	0	
17	4	1961	0	1.59032	26.9717	0	
18	4	1961	0	1.58705	28.5587	0	
19	4	1961	0	1.58762	28.2833	0	
20	4	1961	0	1.59207	26.1164	0	
21	4	1961	0	1.58883	27.6992	0	
22	4	1961	0	1.59139	26.4526	0	
23	4	1961	0	1.58841	27.9	0	
24	4	1961	0	1.58515	29.4762	0	
25	4	1961	0	1.58189	31.0401	0	
26	4	1961	0	1.57866	32.5738	0	
27	4	1961	0	1.57611	33.7789	0	
28	4	1961	0	1.57276	35.3466	0	
29	4	1961	0	1.56939	36.913	0	
30	4	1961	0	1.56599	38.476	0	
1	5	1961	0	2.86171	40.0687	0	
2	5	1961	0	2.86596	39.0137	0	
3	5	1961	0	2.85886	40.7735	0	
4	5	1961	0	2.92639	23.3209	0	
5	5	1961	0	2.91555	26.2355	0	
6	5	1961	0	2.90638	28.6648	0	
7	5	1961	0	2.89555	31.4934	0	
8	5	1961	0	2.88435	34.3767	0	
9	5	1961	0	2.87304	37.2438	0	
10	5	1961	0	2.86156	40.1053	0	
11	5	1961	0	2.84995	42.9553	0	
12	5	1961	0	2.83819	45.7935	0	
13	5	1961	0	2.82628	48.6198	0	
14	5	1961	0	2.81422	51.434	0	
15	5	1961	0	2.802	54.236	0	
16	5	1961	0	2.78962	57.0256	0	
17	5	1961	0	2.77707	59.8027	0	
18	5	1961	0	2.76435	62.567	0	
19	5	1961	0	2.75159	65.2896	0	
20	5	1961	0	2.73851	68.0281	0	
21	5	1961	0	2.72523	70.7534	0	
22	5	1961	0	2.71176	73.4651	0	
23	5	1961	0	2.69809	76.1632	0	
24	5	1961	0	2.6842	78.8474	0	
25	5	1961	0	2.6701	81.5175	0	
26	5	1961	0	2.65583	84.1613	0	
27	5	1961	0	2.6524	84.7867	0	
28	5	1961	0	2.64645	85.8672	0	
29	5	1961	0	2.63184	88.478	0	
30	5	1961	0	2.61688	91.0929	0	
31	5	1961	0	2.60628	92.9082	0	
1	6	1961	0	2.67558	95.5348	0	
2	6	1961	0	2.65882	98.1916	0	
3	6	1961	0	2.64172	100.833	0	
4	6	1961	0	2.62428	103.458	0	
5	6	1961	0	2.60649	106.064	0	
6	6	1961	0	2.58844	108.636	0	
7	6	1961	0	2.5849	109.131	0	
8	6	1961	0	2.57885	109.973	0	
9	6	1961	0	2.56009	112.531	0	
10	6	1961	0	2.54745	114.213	0	
11	6	1961	0	2.56655	111.659	0	
12	6	1961	0	2.65185	99.2762	0	
13	6	1961	0	2.63462	101.91	0	
14	6	1961	0	2.61704	104.527	0	
15	6	1961	0	2.59919	107.112	0	
16	6	1961	0	2.58087	109.693	0	
17	6	1961	0	2.56437	111.954	0	
18	6	1961	0	2.54527	114.5	0	
19	6	1961	0	2.52573	117.025	0	
20	6	1961	0	2.50573	119.531	0	
21	6	1961	0	2.48523	122.016	0	
22	6	1961	0	2.46421	124.48	0	
23	6	1961	0	2.44263	126.923	0	
24	6	1961	0	2.42046	129.344	0	
25	6	1961	0	2.39766	131.741	0	
26	6	1961	0	2.44112	127.091	0	
27	6	1961	0	2.41896	129.504	0	
28	6	1961	0	2.39612	131.9	0	
29	6	1961	0	2.3726	134.273	0	
30	6	1961	0	2.34835	136.621	0	
1	7	1961	0	2.20444	138.821	0	
2	7	1961	0	2.18799	140.379	0	
3	7	1961	0	2.1643	142.541	0	
