FieldCapacity(-)	WiltingPoint(-)	MaxRootDepth(mm)	DepletionFactor(-)	BaseflowIndex(-)
0.235272	0.0973974	977.764	0.00490109	0.395001	
0.269103	0.0885586	836.598	0.00472353	0.396909	
0.232869	0.111072	1154.91	0.00486758	0.39097	
0.255269	0.0963907	830.067	0.0048661	0.374241	
0.232335	0.0809778	875.088	0.00472355	0.358481	
0.267096	0.0915072	867.629	0.00491748	0.40715	
0.266775	0.0873501	895.926	0.00495436	0.401508	
0.268083	0.104281	1016.07	0.00483236	0.361572	
0.256823	0.0917695	1068.88	0.00479128	0.409229	
0.26896	0.0925152	1038.85	0.0048096	0.356712	
