Day	Month	Year	Q3(m3/d)	Q2(m3/d)	Q1(m3/d)	GWL(m)
1	1	1961	0	0	0	15	
2	1	1961	0	0.0085051	0.0510874	15.2795	
3	1	1961	0	0.0130177	0.0516585	15.3239	
4	1	1961	0	0.0138233	0.0517493	15.4397	
5	1	1961	0	0.0160364	0.0519859	15.5903	
6	1	1961	0	0.0191612	0.0522938	15.789	
7	1	1961	0	0.0237072	0.0526997	15.8852	
8	1	1961	0	0.0260821	0.0528963	15.879	
9	1	1961	0	0.025925	0.0528836	16.2207	
10	1	1961	0	0.0352527	0.0535819	16.3663	
11	1	1961	0	0.0396612	0.0538794	16.3589	
12	1	1961	0	0.0394319	0.0538644	16.3515	
13	1	1961	0	0.0392028	0.0538493	16.4182	
14	1	1961	0	0.041295	0.0539855	16.4107	
15	1	1961	0	0.0410562	0.0539701	16.4031	
16	1	1961	0	0.040818	0.0539547	16.3956	
17	1	1961	0	0.0405812	0.0539394	16.3882	
18	1	1961	0	0.0403458	0.0539241	16.3807	
19	1	1961	0	0.0401116	0.0539089	16.4667	
20	1	1961	0	0.0428539	0.0540847	16.786	
21	1	1961	0	0.0538227	0.0547371	16.7809	
22	1	1961	0	0.0536385	0.0547267	16.7723	
23	1	1961	0	0.0533281	0.0547092	16.7638	
24	1	1961	0	0.0530196	0.0546917	16.7553	
25	1	1961	0	0.0527129	0.0546743	16.7468	
26	1	1961	0	0.052408	0.0546569	16.7383	
27	1	1961	0	0.0521049	0.0546396	16.7524	
28	1	1961	0	0.0526113	0.0546685	17.0361	
29	1	1961	0	0.0632875	0.0552482	17.2787	
30	1	1961	0	0.0732003	0.0557439	17.2685	
31	1	1961	0	0.0727714	0.0557232	17.409	
1	2	1961	0	0.0788235	0.0560102	17.5138	
2	2	1961	0	0.0834976	0.0562244	17.5176	
3	2	1961	0	0.0836668	0.0562321	17.6748	
4	2	1961	0	0.0909367	0.0565534	17.7929	
5	2	1961	0	0.0965951	0.0567947	17.7837	
6	2	1961	0	0.0961475	0.0567758	17.7716	
7	2	1961	0	0.0955611	0.0567511	17.7595	
8	2	1961	0	0.0949789	0.0567265	17.8959	
9	2	1961	0	0.101672	0.0570052	17.8834	
10	2	1961	0	0.101048	0.0569796	17.8709	
11	2	1961	0	0.100427	0.0569541	17.9575	
12	2	1961	0	0.104771	0.0571311	17.9448	
13	2	1961	0	0.104124	0.057105	17.932	
14	2	1961	0	0.103481	0.0570789	17.9193	
15	2	1961	0	0.102842	0.057053	17.9066	
16	2	1961	0	0.102208	0.0570271	17.894	
17	2	1961	0	0.101579	0.0570014	17.8815	
18	2	1961	0	0.100954	0.0569757	17.869	
19	2	1961	0	0.100333	0.0569502	17.8565	
20	2	1961	0	0.0997173	0.0569248	17.8442	
21	2	1961	0	0.0991056	0.0568994	17.8318	
22	2	1961	0	0.0984983	0.0568742	17.8195	
23	2	1961	0	0.0978953	0.0568491	17.8073	
24	2	1961	0	0.0972966	0.0568241	17.7951	
25	2	1961	0	0.0967021	0.0567992	17.7829	
26	2	1961	0	0.0961119	0.0567743	17.7708	
27	2	1961	0	0.0955258	0.0567496	18.2404	
28	2	1961	0	0.119593	0.0577092	18.4091	
1	3	1961	0	0.128898	0.0580539	18.3943	
2	3	1961	0	0.12807	0.0580238	18.3796	
3	3	1961	0	0.127247	0.0579937	18.365	
4	3	1961	0	0.12643	0.0579637	18.3504	
5	3	1961	0	0.125619	0.0579339	18.3359	
6	3	1961	0	0.124815	0.0579042	18.3214	
7	3	1961	0	0.124017	0.0578747	18.307	
8	3	1961	0	0.123225	0.0578453	18.2927	
9	3	1961	0	0.122439	0.057816	18.2784	
10	3	1961	0	0.121659	0.0577868	18.2642	
11	3	1961	0	0.120885	0.0577578	18.2501	
12	3	1961	0	0.120117	0.0577289	18.236	
13	3	1961	0	0.119355	0.0577002	18.222	
14	3	1961	0	0.118598	0.0576716	18.2081	
15	3	1961	0	0.117848	0.0576431	18.1942	
16	3	1961	0	0.117103	0.0576147	18.1803	
17	3	1961	0	0.116363	0.0575864	18.1666	
18	3	1961	0	0.11563	0.0575583	18.1529	
19	3	1961	0	0.114901	0.0575303	18.1392	
20	3	1961	0	0.114179	0.0575024	18.1256	
21	3	1961	0	0.113461	0.0574747	18.1121	
22	3	1961	0	0.112749	0.057447	18.0987	
23	3	1961	0	0.112043	0.0574195	18.0852	
24	3	1961	0	0.111341	0.0573921	18.0719	
25	3	1961	0	0.110645	0.0573648	18.0586	
26	3	1961	0	0.109954	0.0573377	18.0454	
27	3	1961	0	0.109268	0.0573106	18.0322	
28	3	1961	0	0.108587	0.0572837	18.0191	
29	3	1961	0	0.107911	0.0572569	18.006	
30	3	1961	0	0.10724	0.0572302	17.993	
31	3	1961	0	0.106574	0.0572036	17.98	
1	4	1961	0	0.105913	0.0571771	17.9671	
2	4	1961	0	0.105257	0.0571507	17.9543	
3	4	1961	0	0.104605	0.0571244	17.9415	
4	4	1961	0	0.103959	0.0570983	17.9287	
5	4	1961	0	0.103317	0.0570723	17.916	
6	4	1961	0	0.102679	0.0570463	17.9034	
7	4	1961	0	0.102046	0.0570205	17.8908	
8	4	1961	0	0.101418	0.0569948	17.8783	
9	4	1961	0	0.100794	0.0569692	17.8658	
10	4	1961	0	0.100175	0.0569437	17.8534	
11	4	1961	0	0.0995597	0.0569182	17.841	
12	4	1961	0	0.0989492	0.0568929	17.8286	
13	4	1961	0	0.098343	0.0568677	17.8164	
14	4	1961	0	0.0977411	0.0568427	17.8041	
15	4	1961	0	0.0971435	0.0568177	17.792	
16	4	1961	0	0.0965501	0.0567928	17.7798	
17	4	1961	0	0.0959609	0.056768	17.7677	
18	4	1961	0	0.0953758	0.0567433	17.7557	
19	4	1961	0	0.0947949	0.0567187	17.7437	
20	4	1961	0	0.094218	0.0566942	17.7318	
21	4	1961	0	0.0936452	0.0566698	17.7199	
22	4	1961	0	0.0930764	0.0566455	17.708	
23	4	1961	0	0.0925115	0.0566213	17.6962	
24	4	1961	0	0.0919506	0.0565972	17.6845	
25	4	1961	0	0.0913936	0.0565731	17.6728	
26	4	1961	0	0.0908405	0.0565492	17.6611	
27	4	1961	0	0.0902911	0.0565254	17.6495	
28	4	1961	0	0.0897456	0.0565016	17.6379	
29	4	1961	0	0.0892038	0.056478	17.6264	
30	4	1961	0	0.0886657	0.0564544	17.6149	
1	5	1961	0	0.0881314	0.056431	17.6035	
2	5	1961	0	0.0876007	0.0564076	17.5921	
3	5	1961	0	0.0870736	0.0563843	17.5807	
4	5	1961	0	0.0865501	0.0563611	17.5694	
5	5	1961	0	0.0860302	0.056338	17.5582	
6	5	1961	0	0.0855138	0.056315	17.5469	
7	5	1961	0	0.0850009	0.0562921	17.5358	
8	5	1961	0	0.0844915	0.0562692	17.5246	
9	5	1961	0	0.0839856	0.0562465	17.5135	
10	5	1961	0	0.083483	0.0562238	17.5025	
11	5	1961	0	0.0829838	0.0562012	17.4914	
12	5	1961	0	0.082488	0.0561787	17.4805	
13	5	1961	0	0.0819955	0.0561563	17.4695	
14	5	1961	0	0.0815063	0.0561339	17.4587	
15	5	1961	0	0.0810204	0.0561117	17.4478	
16	5	1961	0	0.0805377	0.0560895	17.437	
17	5	1961	0	0.0800582	0.0560674	17.4262	
18	5	1961	0	0.0795819	0.0560454	17.4155	
19	5	1961	0	0.0791087	0.0560235	17.4048	
20	5	1961	0	0.0786387	0.0560016	17.3941	
21	5	1961	0	0.0781718	0.0559798	17.3835	
22	5	1961	0	0.077708	0.0559582	17.373	
23	5	1961	0	0.0772472	0.0559365	17.3624	
24	5	1961	0	0.0767894	0.055915	17.3519	
25	5	1961	0	0.0763347	0.0558936	17.3415	
26	5	1961	0	0.0758829	0.0558722	17.331	
27	5	1961	0	0.0754341	0.0558509	17.3206	
28	5	1961	0	0.0749882	0.0558296	17.3103	
29	5	1961	0	0.0745452	0.0558085	17.3	
30	5	1961	0	0.074105	0.0557874	17.2897	
31	5	1961	0	0.0736678	0.0557664	17.2795	
1	6	1961	0	0.0732333	0.0557455	17.2693	
2	6	1961	0	0.0728017	0.0557246	17.2591	
3	6	1961	0	0.0723728	0.0557038	17.249	
4	6	1961	0	0.0719467	0.0556831	17.2389	
5	6	1961	0	0.0715234	0.0556625	17.2288	
6	6	1961	0	0.0711027	0.0556419	17.2188	
7	6	1961	0	0.0706848	0.0556214	17.2088	
8	6	1961	0	0.0702695	0.055601	17.1988	
9	6	1961	0	0.0698569	0.0555807	17.1889	
10	6	1961	0	0.0694469	0.0555604	17.179	
11	6	1961	0	0.0690395	0.0555402	17.1691	
12	6	1961	0	0.0686347	0.05552	17.1593	
13	6	1961	0	0.0682325	0.0555	17.1495	
14	6	1961	0	0.0678328	0.05548	17.1398	
15	6	1961	0	0.0674356	0.05546	17.13	
16	6	1961	0	0.0670409	0.0554401	17.1203	
17	6	1961	0	0.0666488	0.0554203	17.1107	
18	6	1961	0	0.066259	0.0554006	17.1011	
19	6	1961	0	0.0658718	0.0553809	17.0915	
20	6	1961	0	0.0654869	0.0553613	17.0819	
21	6	1961	0	0.0651045	0.0553418	17.0724	
22	6	1961	0	0.0647244	0.0553223	17.0629	
23	6	1961	0	0.0643467	0.0553029	17.0534	
24	6	1961	0	0.0639714	0.0552836	17.044	
25	6	1961	0	0.0635984	0.0552643	17.0346	
26	6	1961	0	0.0632277	0.0552451	17.0252	
27	6	1961	0	0.0628593	0.0552259	17.0159	
28	6	1961	0	0.0624931	0.0552068	17.0065	
29	6	1961	0	0.0621293	0.0551878	16.9973	
30	6	1961	0	0.0617676	0.0551688	16.988	
1	7	1961	0	0.0614082	0.0551499	16.9788	
2	7	1961	0	0.061051	0.055131	16.9696	
3	7	1961	0	0.060696	0.0551123	16.9604	
4	7	1961	0	0.0603432	0.0550935	16.9513	
5	7	1961	0	0.0599925	0.0550749	16.9422	
6	7	1961	0	0.059644	0.0550563	16.9331	
7	7	1961	0	0.0592975	0.0550377	16.9241	
8	7	1961	0	0.0589532	0.0550192	16.915	
9	7	1961	0	0.058611	0.0550008	16.9061	
10	7	1961	0	0.0582709	0.0549824	16.8971	
11	7	1961	0	0.0579328	0.0549641	16.8882	
12	7	1961	0	0.0575967	0.0549459	16.8793	
13	7	1961	0	0.0572627	0.0549277	16.8704	
14	7	1961	0	0.0569307	0.0549095	16.8615	
15	7	1961	0	0.0566007	0.0548914	16.8527	
16	7	1961	0	0.0562727	0.0548734	16.8439	
17	7	1961	0	0.0559466	0.0548555	16.8351	
18	7	1961	0	0.0556225	0.0548375	16.8264	
19	7	1961	0	0.0553003	0.0548197	16.8177	
20	7	1961	0	0.0549801	0.0548019	16.809	
21	7	1961	0	0.0546617	0.0547841	16.8003	
22	7	1961	0	0.0543453	0.0547664	16.7917	
23	7	1961	0	0.0540307	0.0547488	16.7831	
24	7	1961	0	0.053718	0.0547312	16.7745	
25	7	1961	0	0.0534072	0.0547137	16.766	
26	7	1961	0	0.0530982	0.0546962	16.7574	
27	7	1961	0	0.052791	0.0546787	16.7489	
28	7	1961	0	0.0524856	0.0546614	16.7405	
29	7	1961	0	0.0521821	0.054644	16.732	
30	7	1961	0	0.0518803	0.0546268	16.7236	
31	7	1961	0	0.0515803	0.0546096	16.7152	
1	8	1961	0	0.051282	0.0545924	16.7068	
2	8	1961	0	0.0509855	0.0545753	16.6984	
3	8	1961	0	0.0506907	0.0545582	16.6901	
4	8	1961	0	0.0503977	0.0545412	16.6818	
5	8	1961	0	0.0501063	0.0545242	16.6735	
6	8	1961	0	0.0498167	0.0545073	16.6653	
7	8	1961	0	0.0495287	0.0544904	16.6571	
8	8	1961	0	0.0492425	0.0544736	16.6488	
9	8	1961	0	0.0489578	0.0544568	16.6407	
10	8	1961	0	0.0486749	0.0544401	16.6325	
11	8	1961	0	0.0483935	0.0544234	16.6244	
12	8	1961	0	0.0481138	0.0544068	16.6163	
13	8	1961	0	0.0478357	0.0543902	16.6082	
14	8	1961	0	0.0475592	0.0543737	16.6001	
15	8	1961	0	0.0472843	0.0543572	16.5921	
16	8	1961	0	0.047011	0.0543408	16.584	
17	8	1961	0	0.0467392	0.0543244	16.576	
18	8	1961	0	0.046469	0.0543081	16.5681	
19	8	1961	0	0.0462003	0.0542918	16.5601	
20	8	1961	0	0.0459332	0.0542755	16.5522	
21	8	1961	0	0.0456676	0.0542593	16.5443	
22	8	1961	0	0.0454035	0.0542432	16.5364	
23	8	1961	0	0.0451409	0.0542271	16.5285	
24	8	1961	0	0.0448799	0.054211	16.5207	
25	8	1961	0	0.0446203	0.054195	16.5129	
26	8	1961	0	0.0443621	0.054179	16.5051	
27	8	1961	0	0.0441054	0.0541631	16.4973	
28	8	1961	0	0.0438502	0.0541472	16.4896	
29	8	1961	0	0.0435964	0.0541313	16.4818	
30	8	1961	0	0.0433441	0.0541155	16.4741	
31	8	1961	0	0.0430932	0.0540998	16.4664	
1	9	1961	0	0.0428437	0.054084	16.4588	
2	9	1961	0	0.0425955	0.0540684	16.4511	
3	9	1961	0	0.0423488	0.0540527	16.4435	
4	9	1961	0	0.0421035	0.0540372	16.4359	
