AquiferLength(m)	SpecificYield(%)	K3(m/day)	K2(m/day)	K1(m/day)	z3(m)	z2(m)	z1(m)	Alpha(-)
1850	0.00686699	70.2357	5.70722	0.0837336	46.6644	13.545	-10	1	
1850	0.0065641	78.672	5.40973	0.0813927	44.1046	13.814	-10	1	
1850	0.00675497	76.7971	5.77436	0.0738694	42.7734	13.4263	-10	1	
1850	0.00699873	78.4967	5.71489	0.078478	45.1431	13.4862	-10	1	
1850	0.00635728	70.0595	5.79035	0.0701137	42.687	13.6762	-10	1	
1850	0.006369	76.1616	5.6027	0.0826643	46.9562	13.6743	-10	1	
1850	0.00645948	76.2394	5.6631	0.0839587	41.4689	13.7359	-10	1	
1850	0.00657379	69.3928	5.6893	0.0695336	41.8079	13.7434	-10	1	
1850	0.00693623	77.8961	5.70859	0.0811053	43.9232	13.653	-10	1	
1850	0.00644608	75.0984	5.45384	0.068771	43.8822	13.7644	-10	1	
