Day	Month	Year	Recharge(mm/d)
1	1	1961	0	
2	1	1961	1.88469	
3	1	1961	0.328381	
4	1	1961	0.802297	
5	1	1961	1.0346	
6	1	1961	1.35486	
7	1	1961	0.677874	
8	1	1961	8.84726e-05	
9	1	1961	2.30765	
10	1	1961	1.01189	
11	1	1961	0.000132062	
12	1	1961	3.18516e-16	
13	1	1961	0.490793	
14	1	1961	6.40725e-05	
15	1	1961	1.54534e-16	
16	1	1961	2.40854e-39	
17	1	1961	7.40076e-77	
18	1	1961	1.38085e-132	
19	1	1961	0.620423	
20	1	1961	2.16804	
21	1	1961	0.0230535	
22	1	1961	2.97266e-06	
23	1	1961	7.16968e-18	
24	1	1961	1.11745e-40	
25	1	1961	3.4336e-78	
26	1	1961	6.40651e-134	
27	1	1961	0.150241	
28	1	1961	1.93735	
29	1	1961	1.67079	
30	1	1961	0.000218086	
31	1	1961	0.999002	
1	2	1961	0.765854	
2	2	1961	0.0980393	
3	2	1961	1.1161	
4	2	1961	0.860291	
5	2	1961	0.0192997	
6	2	1961	2.50489e-06	
7	2	1961	6.04148e-18	
8	2	1961	0.984136	
9	2	1961	0.000128478	
10	2	1961	3.09872e-16	
11	2	1961	0.657408	
12	2	1961	8.58238e-05	
13	2	1961	2.06996e-16	
14	2	1961	3.22619e-39	
15	2	1961	9.91317e-77	
16	2	1961	1.84962e-132	
17	2	1961	6.66085e-210	
18	2	1961	1.52227e-312	
19	2	1961	0	
20	2	1961	0	
21	2	1961	0	
22	2	1961	0	
23	2	1961	0	
24	2	1961	0	
25	2	1961	0	
26	2	1961	0	
27	2	1961	3.19918	
28	2	1961	1.21133	
1	3	1961	0.000158083	
2	3	1961	3.81277e-16	
3	3	1961	5.94249e-39	
4	3	1961	1.82596e-76	
5	3	1961	3.40692e-132	
6	3	1961	1.2269e-209	
7	3	1961	2.80395e-312	
8	3	1961	0	
9	3	1961	0	
10	3	1961	0	
11	3	1961	0	
12	3	1961	0	
13	3	1961	0	
14	3	1961	0	
15	3	1961	0	
16	3	1961	0	
17	3	1961	0	
18	3	1961	0	
19	3	1961	0	
20	3	1961	0	
21	3	1961	0	
22	3	1961	0	
23	3	1961	0	
24	3	1961	0	
25	3	1961	0	
26	3	1961	0	
27	3	1961	0	
28	3	1961	0	
29	3	1961	0	
30	3	1961	0	
31	3	1961	0	
1	4	1961	0	
2	4	1961	0	
3	4	1961	0	
4	4	1961	0	
5	4	1961	0	
6	4	1961	0	
7	4	1961	0	
8	4	1961	0	
9	4	1961	0	
10	4	1961	0	
11	4	1961	0	
12	4	1961	0	
13	4	1961	0	
14	4	1961	0	
15	4	1961	0	
16	4	1961	0	
17	4	1961	0	
18	4	1961	0	
19	4	1961	0	
20	4	1961	0	
21	4	1961	0	
22	4	1961	0	
23	4	1961	0	
24	4	1961	0	
25	4	1961	0	
26	4	1961	0	
27	4	1961	0	
28	4	1961	0	
29	4	1961	0	
30	4	1961	0	
1	5	1961	0	
2	5	1961	0	
3	5	1961	0	
4	5	1961	0	
5	5	1961	0	
6	5	1961	0	
7	5	1961	0	
8	5	1961	0	
9	5	1961	0	
10	5	1961	0	
11	5	1961	0	
12	5	1961	0	
13	5	1961	0	
14	5	1961	0	
15	5	1961	0	
16	5	1961	0	
17	5	1961	0	
18	5	1961	0	
19	5	1961	0	
20	5	1961	0	
21	5	1961	0	
22	5	1961	0	
23	5	1961	0	
24	5	1961	0	
25	5	1961	0	
26	5	1961	0	
27	5	1961	0	
28	5	1961	0	
29	5	1961	0	
30	5	1961	0	
31	5	1961	0	
1	6	1961	0	
2	6	1961	0	
3	6	1961	0	
4	6	1961	0	
5	6	1961	0	
6	6	1961	0	
7	6	1961	0	
8	6	1961	0	
9	6	1961	0	
10	6	1961	0	
11	6	1961	0	
12	6	1961	0	
13	6	1961	0	
14	6	1961	0	
15	6	1961	0	
16	6	1961	0	
17	6	1961	0	
18	6	1961	0	
19	6	1961	0	
20	6	1961	0	
21	6	1961	0	
22	6	1961	0	
23	6	1961	0	
24	6	1961	0	
25	6	1961	0	
26	6	1961	0	
27	6	1961	0	
28	6	1961	0	
29	6	1961	0	
30	6	1961	0	
1	7	1961	0	
2	7	1961	0	
3	7	1961	0	
4	7	1961	0	
5	7	1961	0	
6	7	1961	0	
7	7	1961	0	
8	7	1961	0	
9	7	1961	0	
10	7	1961	0	
11	7	1961	0	
12	7	1961	0	
13	7	1961	0	
14	7	1961	0	
15	7	1961	0	
16	7	1961	0	
17	7	1961	0	
18	7	1961	0	
19	7	1961	0	
20	7	1961	0	
21	7	1961	0	
22	7	1961	0	
23	7	1961	0	
24	7	1961	0	
25	7	1961	0	
26	7	1961	0	
27	7	1961	0	
28	7	1961	0	
29	7	1961	0	
30	7	1961	0	
31	7	1961	0	
1	8	1961	0	
2	8	1961	0	
3	8	1961	0	
4	8	1961	0	
5	8	1961	0	
6	8	1961	0	
7	8	1961	0	
8	8	1961	0	
9	8	1961	0	
10	8	1961	0	
11	8	1961	0	
12	8	1961	0	
13	8	1961	0	
14	8	1961	0	
15	8	1961	0	
16	8	1961	0	
17	8	1961	0	
18	8	1961	0	
19	8	1961	0	
20	8	1961	0	
21	8	1961	0	
22	8	1961	0	
23	8	1961	0	
24	8	1961	0	
25	8	1961	0	
26	8	1961	0	
27	8	1961	0	
28	8	1961	0	
29	8	1961	0	
30	8	1961	0	
31	8	1961	0	
1	9	1961	0	
2	9	1961	0	
3	9	1961	0	
4	9	1961	0	
5	9	1961	0	
6	9	1961	0	
7	9	1961	0	
8	9	1961	0	
9	9	1961	0	
10	9	1961	0	
11	9	1961	0	
12	9	1961	0	
13	9	1961	0	
14	9	1961	0	
15	9	1961	0	
16	9	1961	0	
17	9	1961	0	
18	9	1961	0	
19	9	1961	0	
20	9	1961	0	
21	9	1961	0	
22	9	1961	0	
23	9	1961	0	
24	9	1961	0	
25	9	1961	0	
26	9	1961	0	
27	9	1961	0	
28	9	1961	0	
29	9	1961	0	
30	9	1961	0	
1	10	1961	0	
2	10	1961	0	
3	10	1961	0	
4	10	1961	0	
5	10	1961	0	
6	10	1961	0	
7	10	1961	0	
8	10	1961	0	
9	10	1961	0	
10	10	1961	0	
11	10	1961	0	
12	10	1961	0	
13	10	1961	0	
14	10	1961	0	
15	10	1961	0	
16	10	1961	0	
17	10	1961	0	
18	10	1961	0	
19	10	1961	0	
20	10	1961	0	
21	10	1961	0	
22	10	1961	0	
23	10	1961	0	
24	10	1961	0	
25	10	1961	0	
26	10	1961	0	
27	10	1961	0	
28	10	1961	0	
29	10	1961	0	
30	10	1961	0	
31	10	1961	0	
1	11	1961	0	
2	11	1961	0	
3	11	1961	0	
4	11	1961	0	
5	11	1961	0	
6	11	1961	0	
7	11	1961	0	
8	11	1961	0	
9	11	1961	0	
10	11	1961	0	
11	11	1961	0	
12	11	1961	0	
13	11	1961	0	
14	11	1961	0	
15	11	1961	0	
16	11	1961	0	
17	11	1961	0	
18	11	1961	0	
19	11	1961	0	
20	11	1961	0	
21	11	1961	0	
22	11	1961	0	
23	11	1961	0	
24	11	1961	0	
25	11	1961	0	
26	11	1961	0	
27	11	1961	0	
28	11	1961	0	
29	11	1961	0	
30	11	1961	0	
1	12	1961	2.35274	
2	12	1961	0.000307148	
3	12	1961	2.21624	
4	12	1961	1.14738	
5	12	1961	0.000149752	
6	12	1961	3.61182e-16	
7	12	1961	5.6293e-39	
8	12	1961	0.194474	
9	12	1961	1.09448	
10	12	1961	0.500345	
11	12	1961	0.0691413	
12	12	1961	0.270385	
13	12	1961	4.19877	
14	12	1961	0.00054814	
15	12	1961	1.32204e-15	
16	12	1961	2.06051e-38	
17	12	1961	6.33134e-76	
18	12	1961	1.18132e-131	
19	12	1961	4.25415e-209	
20	12	1961	9.72243e-312	
21	12	1961	0	
22	12	1961	0	
23	12	1961	0	
24	12	1961	0	
25	12	1961	0	
26	12	1961	0	
27	12	1961	0	
28	12	1961	0	
29	12	1961	4.37358	
30	12	1961	1.96291	
31	12	1961	2.68582	
1	1	1962	0.000350598	
2	1	1962	8.45597e-16	
3	1	1962	1.31793e-38	
4	1	1962	4.04962e-76	
5	1	1962	7.55588e-132	
6	1	1962	2.72101e-209	
7	1	1962	6.2186e-312	
8	1	1962	0	
9	1	1962	2.98391	
10	1	1962	0.706988	
11	1	1962	1.91569	
12	1	1962	0.00025008	
13	1	1962	6.0316e-16	
14	1	1962	9.40072e-39	
15	1	1962	0.434797	
16	1	1962	5.67623e-05	
17	1	1962	0.374556	
18	1	1962	0.676513	
19	1	1962	0.448333	
20	1	1962	2.27888	
21	1	1962	3.1908	
22	1	1962	0.000416516	
23	1	1962	0.521614	
24	1	1962	0.448312	
25	1	1962	5.85178e-05	
26	1	1962	1.41137e-16	
27	1	1962	2.19974e-39	
28	1	1962	6.75916e-77	
29	1	1962	1.26114e-132	
30	1	1962	4.54161e-210	
31	1	1962	1.78142	
1	2	1962	0.000232562	
2	2	1962	5.60909e-16	
3	2	1962	8.7422e-39	
4	2	1962	2.68623e-76	
5	2	1962	5.01203e-132	
6	2	1962	1.80493e-209	
7	2	1962	0.454113	
8	2	1962	5.92839e-05	
9	2	1962	1.42985e-16	
10	2	1962	2.22853e-39	
11	2	1962	6.84765e-77	
12	2	1962	1.27765e-132	
13	2	1962	4.60106e-210	
14	2	1962	0.456506	
15	2	1962	0.203792	
16	2	1962	2.65971e-05	
17	2	1962	6.41487e-17	
18	2	1962	9.99807e-40	
19	2	1962	3.07212e-77	
20	2	1962	5.73204e-133	
21	2	1962	2.06422e-210	
22	2	1962	4.71756e-313	
23	2	1962	0	
24	2	1962	0	
25	2	1962	0	
26	2	1962	0	
27	2	1962	0	
28	2	1962	0	
1	3	1962	0	
2	3	1962	0	
3	3	1962	0	
4	3	1962	0	
5	3	1962	0	
6	3	1962	0	
7	3	1962	0	
8	3	1962	0	
9	3	1962	0	
10	3	1962	0.659334	
11	3	1962	8.60753e-05	
12	3	1962	2.07602e-16	
13	3	1962	3.23564e-39	
14	3	1962	9.94221e-77	
15	3	1962	1.85504e-132	
16	3	1962	6.68036e-210	
17	3	1962	1.52673e-312	
18	3	1962	0	
19	3	1962	0	
20	3	1962	0	
21	3	1962	0	
22	3	1962	0	
23	3	1962	0	
24	3	1962	0	
25	3	1962	0	
26	3	1962	0	
27	3	1962	0	
28	3	1962	0	
29	3	1962	0	
30	3	1962	0	
31	3	1962	0	
1	4	1962	0.0976893	
2	4	1962	1.27532e-05	
3	4	1962	3.07591e-17	
4	4	1962	2.83811	
5	4	1962	0.000370512	
6	4	1962	8.93627e-16	
7	4	1962	0.109318	
8	4	1962	1.42714e-05	
9	4	1962	3.44208e-17	
10	4	1962	5.36475e-40	
11	4	1962	1.64843e-77	
12	4	1962	3.07569e-133	
13	4	1962	1.10761e-210	
14	4	1962	2.53134e-313	
15	4	1962	0	
16	4	1962	0	
17	4	1962	0	
18	4	1962	0	
19	4	1962	0	
20	4	1962	0	
21	4	1962	0	
22	4	1962	0	
23	4	1962	0	
24	4	1962	0	
25	4	1962	0	
26	4	1962	0	
27	4	1962	0	
28	4	1962	0	
29	4	1962	0	
30	4	1962	0	
1	5	1962	0	
2	5	1962	0	
3	5	1962	0	
4	5	1962	0	
5	5	1962	0	
6	5	1962	0	
7	5	1962	0	
8	5	1962	0	
9	5	1962	0	
10	5	1962	0	
11	5	1962	0	
12	5	1962	0	
13	5	1962	0	
14	5	1962	0	
15	5	1962	0	
16	5	1962	0	
17	5	1962	0	
18	5	1962	0	
19	5	1962	0	
20	5	1962	0	
21	5	1962	0	
22	5	1962	0	
23	5	1962	0	
24	5	1962	0	
25	5	1962	0	
26	5	1962	0	
27	5	1962	0	
28	5	1962	0	
29	5	1962	0	
30	5	1962	0	
31	5	1962	0	
1	6	1962	0	
2	6	1962	0	
3	6	1962	0	
4	6	1962	0	
5	6	1962	0	
6	6	1962	0	
7	6	1962	0	
8	6	1962	0	
9	6	1962	0	
10	6	1962	0	
11	6	1962	0	
12	6	1962	0	
13	6	1962	0	
14	6	1962	0	
15	6	1962	0	
16	6	1962	0	
17	6	1962	0	
18	6	1962	0	
19	6	1962	0	
20	6	1962	0	
21	6	1962	0	
22	6	1962	0	
23	6	1962	0	
24	6	1962	0	
25	6	1962	0	
26	6	1962	0	
27	6	1962	0	
28	6	1962	0	
29	6	1962	0	
30	6	1962	0	
1	7	1962	0	
2	7	1962	0	
3	7	1962	0	
4	7	1962	0	
5	7	1962	0	
6	7	1962	0	
7	7	1962	0	
8	7	1962	0	
9	7	1962	0	
10	7	1962	0	
11	7	1962	0	
12	7	1962	0	
13	7	1962	0	
14	7	1962	0	
15	7	1962	0	
16	7	1962	0	
17	7	1962	0	
18	7	1962	0	
19	7	1962	0	
20	7	1962	0	
21	7	1962	0	
22	7	1962	0	
23	7	1962	0	
24	7	1962	0	
25	7	1962	0	
26	7	1962	0	
27	7	1962	0	
28	7	1962	0	
29	7	1962	0	
30	7	1962	0	
31	7	1962	0	
1	8	1962	0	
2	8	1962	0	
3	8	1962	0	
4	8	1962	0	
5	8	1962	0	
6	8	1962	0	
7	8	1962	0	
8	8	1962	0	
9	8	1962	0	
10	8	1962	0	
11	8	1962	0	
12	8	1962	0	
13	8	1962	0	
14	8	1962	0	
15	8	1962	0	
16	8	1962	0	
17	8	1962	0	
18	8	1962	0	
19	8	1962	0	
20	8	1962	0	
21	8	1962	0	
22	8	1962	0	
23	8	1962	0	
24	8	1962	0	
25	8	1962	0	
26	8	1962	0	
27	8	1962	0	
28	8	1962	0	
29	8	1962	0	
30	8	1962	0	
31	8	1962	0	
1	9	1962	0	
2	9	1962	0	
3	9	1962	0	
4	9	1962	0	
5	9	1962	0	
6	9	1962	0	
7	9	1962	0	
8	9	1962	0	
9	9	1962	0	
10	9	1962	0	
11	9	1962	0	
12	9	1962	0	
13	9	1962	0	
14	9	1962	0	
15	9	1962	0	
16	9	1962	0	
17	9	1962	0	
18	9	1962	0	
19	9	1962	0	
20	9	1962	0	
21	9	1962	0	
22	9	1962	0	
23	9	1962	0	
24	9	1962	0	
25	9	1962	0	
26	9	1962	0	
27	9	1962	0	
28	9	1962	0	
29	9	1962	0	
30	9	1962	0	
1	10	1962	0	
2	10	1962	0	
3	10	1962	0	
4	10	1962	0	
5	10	1962	0	
6	10	1962	0	
7	10	1962	0	
8	10	1962	0	
9	10	1962	0	
10	10	1962	0	
11	10	1962	0	
12	10	1962	0	
13	10	1962	0	
14	10	1962	0	
15	10	1962	0	
16	10	1962	0	
17	10	1962	0	
18	10	1962	0	
19	10	1962	0	
20	10	1962	0	
21	10	1962	0	
22	10	1962	0	
23	10	1962	0	
24	10	1962	0	
25	10	1962	0	
26	10	1962	0	
27	10	1962	0	
28	10	1962	0	
29	10	1962	0	
30	10	1962	0	
31	10	1962	0	
1	11	1962	0	
2	11	1962	0	
3	11	1962	0	
4	11	1962	0	
5	11	1962	0	
6	11	1962	0	
7	11	1962	0	
8	11	1962	0	
9	11	1962	0	
10	11	1962	0	
11	11	1962	0	
12	11	1962	0	
13	11	1962	0	
14	11	1962	0	
15	11	1962	0	
16	11	1962	0	
17	11	1962	0	
18	11	1962	0	
19	11	1962	0	
20	11	1962	0	
21	11	1962	0	
22	11	1962	0	
23	11	1962	0	
24	11	1962	0	
25	11	1962	0	
26	11	1962	0	
27	11	1962	0	
28	11	1962	0	
29	11	1962	0	
30	11	1962	0	
1	12	1962	0	
2	12	1962	0	
3	12	1962	0	
4	12	1962	0	
5	12	1962	0	
6	12	1962	0	
7	12	1962	0	
8	12	1962	0	
9	12	1962	0	
10	12	1962	0	
11	12	1962	0	
12	12	1962	0	
13	12	1962	0	
14	12	1962	0	
15	12	1962	0	
16	12	1962	0	
17	12	1962	0	
18	12	1962	0	
19	12	1962	0	
20	12	1962	0	
21	12	1962	0	
22	12	1962	0	
23	12	1962	0	
24	12	1962	0	
25	12	1962	0	
26	12	1962	0	
27	12	1962	0	
28	12	1962	0	
29	12	1962	0	
30	12	1962	0	
31	12	1962	0	
1	1	1963	0	
2	1	1963	0	
3	1	1963	0	
4	1	1963	0.590131	
5	1	1963	7.70409e-05	
6	1	1963	1.85813e-16	
7	1	1963	2.89603e-39	
8	1	1963	8.89869e-77	
9	1	1963	1.66034e-132	
10	1	1963	5.97919e-210	
11	1	1963	1.36648e-312	
12	1	1963	0	
13	1	1963	0	
14	1	1963	0	
15	1	1963	0	
16	1	1963	0	
17	1	1963	0	
18	1	1963	0	
19	1	1963	0	
20	1	1963	0	
21	1	1963	0	
22	1	1963	0	
23	1	1963	0	
24	1	1963	0	
25	1	1963	0	
26	1	1963	0	
27	1	1963	0	
28	1	1963	0	
29	1	1963	0	
30	1	1963	0	
31	1	1963	0	
1	2	1963	0	
2	2	1963	0	
3	2	1963	1.34424	
4	2	1963	0.00017549	
5	2	1963	4.23258e-16	
6	2	1963	6.59681e-39	
7	2	1963	1.21919	
8	2	1963	0.000159163	
9	2	1963	3.83882e-16	
10	2	1963	5.9831e-39	
11	2	1963	1.83843e-76	
12	2	1963	3.4302e-132	
13	2	1963	1.23528e-209	
14	2	1963	2.8231e-312	
15	2	1963	0	
16	2	1963	0	
17	2	1963	0	
18	2	1963	0	
19	2	1963	0	
20	2	1963	0	
21	2	1963	0	
22	2	1963	0	
23	2	1963	0	
24	2	1963	0	
25	2	1963	0	
26	2	1963	0	
27	2	1963	0	
28	2	1963	0	
1	3	1963	0	
2	3	1963	0	
3	3	1963	0	
4	3	1963	0	
5	3	1963	0	
6	3	1963	0	
7	3	1963	0	
8	3	1963	0	
9	3	1963	0	
10	3	1963	0	
11	3	1963	2.82159	
12	3	1963	4.05141	
13	3	1963	2.42751	
14	3	1963	0.0884482	
15	3	1963	1.15054e-05	
16	3	1963	0.75726	
17	3	1963	1.27112	
18	3	1963	0.00016593	
19	3	1963	4.00201e-16	
20	3	1963	6.23745e-39	
21	3	1963	1.91659e-76	
22	3	1963	3.57602e-132	
23	3	1963	1.28779e-209	
24	3	1963	2.94312e-312	
25	3	1963	0	
26	3	1963	0	
27	3	1963	0	
28	3	1963	0	
29	3	1963	0.15005	
30	3	1963	0.529322	
31	3	1963	6.90999e-05	
1	4	1963	1.6666e-16	
2	4	1963	2.59753e-39	
3	4	1963	7.98146e-77	
4	4	1963	1.4892e-132	
