component,module_number,module_name,parameter,line_number,min,max
soil,1,FAO,FieldCapacity(-),1,,
soil,1,FAO,WiltingPoint(-),4,,
soil,1,FAO,MaxRootDepth(mm),7,,
soil,1,FAO,DepletionFactor(-),10,,
soil,1,FAO,BaseflowIndex(-),13,,
unsaturated,1,Weibull,k(-),1,,
unstaurated,1,Weibull,lambda(-),4,,
unsaturated,1,Weibull,n(timesteps),7,,
saturated,1,Q3K3S1,AquiferLength(m),1,,
saturated,1,Q3K3S1,SpecificYield(%),4,,
saturated,1,Q3K3S1,K3(m/day),7,,
saturated,1,Q3K3S1,K2(m/day),10,,
saturated,1,Q3K3S1,K1(m/day),13,,
saturated,1,Q3K3S1,z3(m),16,,
saturated,1,Q3K3S1,z2(m),19,,
saturated,1,Q3K3S1,z1(m),22,,
saturated,1,Q3K3S1,Alpha(-),25,,
saturated,2,Q2K2S1,AquiferLength(m),1,,
saturated,2,Q2K2S1,SpecificYield(%),4,,
saturated,2,Q2K2S1,K2(m/day),7,,
saturated,2,Q2K2S1,K1(m/day),10,,
saturated,2,Q2K2S1,z2(m),13,,
saturated,2,Q2K2S1,z1(m),16,,
saturated,2,Q2K2S1,Alpha(-),19,,
saturated,3,Q1K1S1,AquiferLength(m),1,,
saturated,3,Q1K1S1,SpecificYield(%),4,,
saturated,3,Q1K1S1,K1(m/day),7,,
saturated,3,Q1K1S1,z1(m),10,,
saturated,4,Q1T1S1,AquiferLength(m),1,,
saturated,4,Q1T1S1,StorageCoefficient(%),4,,
saturated,4,Q1T1S1,T1(m2/day),7,,
saturated,4,Q1T1S1,z1(m),10,,
saturated,5,VKD,AquiferLength(m),1,,
saturated,5,VKD,SpecificYield(%),4,,
saturated,5,VKD,Kbase(m/day),7,,
saturated,5,VKD,dkdz(/day),10,,
saturated,5,VKD,Zbase(m),13,,
saturated,5,VKD,Zp(m),16,,
saturated,6,Q3K3S3,AquiferLength(m),1,,
saturated,6,Q3K3S3,S3(-),4,,
saturated,6,Q3K3S3,S2(-),7,,
saturated,6,Q3K3S3,S1(-),10,,
saturated,6,Q3K3S3,K3(m/day),13,,
saturated,6,Q3K3S3,K2(m/day),16,,
saturated,6,Q3K3S3,K1(m/day),19,,
saturated,6,Q3K3S3,z3(m),22,,
saturated,6,Q3K3S3,z2(m),25,,
saturated,6,Q3K3S3,z1(m),28,,
saturated,6,Q3K3S3,Alpha(-),31,,
saturated,7,Q2K2S2,AquiferLength(m),1,,
saturated,7,Q2K2S2,S2(-),4,,
saturated,7,Q2K2S2,S1(-),7,,
saturated,7,Q2K2S2,K2(m/day),10,,
saturated,7,Q2K2S2,K1(m/day),13,,
saturated,7,Q2K2S2,z2(m),16,,
saturated,7,Q2K2S2,z1(m),19,,
saturated,7,Q2K2S2,Alpha(-),22,,
